,weather_grid,fips,county,state
24204,21404,26015,Barry,MI
24217,21405,26045,Eaton,MI
2977,21406,26045,Eaton,MI
24230,21407,26065,Ingham,MI
1348,21408,26093,Livingston,MI
24247,21409,26093,Livingston,MI
239,21410,26125,Oakland,MI
24246,21411,26125,Oakland,MI
1346,21412,26125,Oakland,MI
24262,21413,26099,Macomb,MI
2980,21414,26147,St. Clair,MI
24271,21415,26147,St. Clair,MI
24276,21427,36013,Chautauqua,NY
242,21428,36029,Erie,NY
24290,21429,36029,Erie,NY
1344,21430,36029,Erie,NY
24288,21431,36121,Wyoming,NY
2983,21432,36121,Wyoming,NY
24303,21433,36051,Livingston,NY
1340,21434,36051,Livingston,NY
24318,21435,36069,Ontario,NY
24328,21436,36123,Yates,NY
244,21437,36099,Seneca,NY
24343,21438,36011,Cayuga,NY
104,21439,36011,Cayuga,NY
24362,21440,36023,Cortland,NY
2986,21441,36023,Cortland,NY
24361,21442,36017,Chenango,NY
1339,21443,36017,Chenango,NY
24378,21444,36077,Otsego,NY
24392,21445,36077,Otsego,NY
248,21446,36095,Schoharie,NY
24410,21447,36095,Schoharie,NY
1336,21448,36001,Albany,NY
24433,21449,36001,Albany,NY
2987,21450,36083,Rensselaer,NY
24428,21451,36083,Rensselaer,NY
1332,21452,25003,Berkshire,MA
24448,21453,25011,Franklin,MA
249,21454,25011,Franklin,MA
24464,21455,25011,Franklin,MA
24477,21456,25027,Worcester,MA
100,21457,25027,Worcester,MA
24486,21458,25017,Middlesex,MA
2990,21459,25017,Middlesex,MA
24503,21460,25009,Essex,MA
1330,21461,25009,Essex,MA
24500,21462,25009,Essex,MA
23433,21482,41015,Curry,OR
23436,21483,41015,Curry,OR
23435,21484,41011,Coos,OR
23448,21485,41011,Coos,OR
23445,21486,41019,Douglas,OR
23442,21487,41019,Douglas,OR
23460,21488,41019,Douglas,OR
23458,21489,41019,Douglas,OR
23470,21490,41029,Jackson,OR
23468,21491,41029,Jackson,OR
23477,21492,41035,Klamath,OR
23476,21493,41035,Klamath,OR
23483,21494,41035,Klamath,OR
23481,21495,41035,Klamath,OR
23489,21496,41037,Lake,OR
23488,21497,41037,Lake,OR
23487,21498,41037,Lake,OR
23498,21499,41037,Lake,OR
23497,21500,41037,Lake,OR
23504,21501,41025,Harney,OR
23502,21502,41025,Harney,OR
23510,21503,41025,Harney,OR
23509,21504,41025,Harney,OR
23518,21505,41025,Harney,OR
23517,21506,41025,Harney,OR
23516,21507,41025,Harney,OR
23525,21508,41045,Malheur,OR
23524,21509,41045,Malheur,OR
23532,21510,41045,Malheur,OR
23531,21511,41045,Malheur,OR
23537,21512,41045,Malheur,OR
23536,21513,16073,Owyhee,ID
23545,21514,16073,Owyhee,ID
23544,21515,16073,Owyhee,ID
23554,21516,16073,Owyhee,ID
23552,21517,16073,Owyhee,ID
23550,21518,16073,Owyhee,ID
23564,21519,16039,Elmore,ID
23560,21520,16039,Elmore,ID
23575,21521,16047,Gooding,ID
23571,21522,16047,Gooding,ID
23582,21523,16063,Lincoln,ID
23580,21524,16063,Lincoln,ID
23595,21525,16063,Lincoln,ID
23594,21526,16067,Minidoka,ID
23591,21527,16013,Blaine,ID
23610,21528,16077,Power,ID
23609,21529,16011,Bingham,ID
23621,21530,16077,Power,ID
23620,21531,16005,Bannock,ID
23634,21532,16005,Bannock,ID
23632,21533,16029,Caribou,ID
23644,21534,16029,Caribou,ID
23643,21535,16029,Caribou,ID
23654,21536,16029,Caribou,ID
23653,21537,56023,Lincoln,WY
23652,21538,56023,Lincoln,WY
23668,21539,56035,Sublette,WY
23667,21540,56035,Sublette,WY
23676,21541,56035,Sublette,WY
23675,21542,56035,Sublette,WY
23684,21543,56035,Sublette,WY
23683,21544,56013,Fremont,WY
23694,21545,56013,Fremont,WY
23693,21546,56013,Fremont,WY
23692,21547,56013,Fremont,WY
23704,21548,56013,Fremont,WY
23703,21549,56013,Fremont,WY
23712,21550,56013,Fremont,WY
23710,21551,56025,Natrona,WY
23721,21552,56025,Natrona,WY
23720,21553,56025,Natrona,WY
23728,21554,56025,Natrona,WY
23727,21555,56025,Natrona,WY
23736,21556,56025,Natrona,WY
23735,21557,56009,Converse,WY
23734,21558,56009,Converse,WY
23750,21559,56009,Converse,WY
23749,21560,56009,Converse,WY
23759,21561,56027,Niobrara,WY
23757,21562,56027,Niobrara,WY
23768,21563,56027,Niobrara,WY
23767,21564,56027,Niobrara,WY
23778,21565,31165,Sioux,NE
23777,21566,31165,Sioux,NE
23774,21567,31045,Dawes,NE
23790,21568,31045,Dawes,NE
23787,21569,31045,Dawes,NE
23800,21570,31161,Sheridan,NE
23798,21571,31161,Sheridan,NE
23809,21572,31161,Sheridan,NE
23807,21573,31031,Cherry,NE
23820,21574,31031,Cherry,NE
23818,21575,31031,Cherry,NE
23830,21576,31031,Cherry,NE
23827,21577,31031,Cherry,NE
23825,21578,31031,Cherry,NE
23842,21579,31031,Cherry,NE
23839,21580,31103,Keya Paha,NE
23852,21581,31103,Keya Paha,NE
23849,21582,31103,Keya Paha,NE
23866,21583,31103,Keya Paha,NE
23860,21584,31015,Boyd,NE
23881,21585,31015,Boyd,NE
23878,21586,31015,Boyd,NE
23874,21587,31015,Boyd,NE
23895,21588,46009,Bon Homme,SD
23892,21589,46009,Bon Homme,SD
23907,21590,31107,Knox,NE
23905,21591,46135,Yankton,SD
23922,21592,46027,Clay,SD
23919,21593,46027,Clay,SD
23935,21594,46127,Union,SD
23933,21595,19149,Plymouth,IA
23956,21596,19149,Plymouth,IA
23953,21597,19149,Plymouth,IA
23951,21598,19035,Cherokee,IA
23971,21599,19021,Buena Vista,IA
23968,21600,19021,Buena Vista,IA
23983,21601,19151,Pocahontas,IA
23979,21602,19151,Pocahontas,IA
23993,21603,19091,Humboldt,IA
