weather_grid (Trip)	stationID (Meridith)	lat	lon
619	9788	30.375	-98.125
636	9805	30.375	-93.875
618	9787	30.375	-98.375
637	9806	30.375	-93.625
617	9786	30.375	-98.625
638	9807	30.375	-93.375
515	9529	30.125	-103.875
616	9785	30.375	-98.875
639	9808	30.375	-93.125
426	9141	29.625	-82.875
497	9368	29.875	-85.125
615	9784	30.375	-99.125
640	9809	30.375	-92.875
514	9528	30.125	-104.125
614	9783	30.375	-99.375
641	9810	30.375	-92.625
613	9782	30.375	-99.625
642	9811	30.375	-92.375
498	9369	29.875	-84.875
612	9781	30.375	-99.875
643	9812	30.375	-92.125
513	9527	30.125	-104.375
427	9142	29.625	-82.625
611	9780	30.375	-100.125
644	9813	30.375	-91.875
610	9779	30.375	-100.375
645	9814	30.375	-91.625
512	9526	30.125	-104.625
499	9370	29.875	-84.625
609	9778	30.375	-100.625
646	9815	30.375	-91.375
428	9143	29.625	-82.375
608	9777	30.375	-100.875
647	9816	30.375	-91.125
500	9371	29.875	-84.375
607	9776	30.375	-101.125
648	9817	30.375	-90.875
606	9775	30.375	-101.375
649	9818	30.375	-90.625
429	9144	29.625	-82.125
605	9774	30.375	-101.625
650	9819	30.375	-90.375
604	9773	30.375	-101.875
651	9820	30.375	-90.125
430	9145	29.625	-81.875
603	9772	30.375	-102.125
652	9821	30.375	-89.875
501	9373	29.875	-83.875
602	9771	30.375	-102.375
653	9822	30.375	-89.625
431	9146	29.625	-81.625
601	9770	30.375	-102.625
654	9823	30.375	-89.375
502	9374	29.875	-83.625
600	9769	30.375	-102.875
655	9824	30.375	-89.125
574	9601	30.125	-85.875
503	9375	29.875	-83.375
432	9147	29.625	-81.375
599	9768	30.375	-103.125
656	9825	30.375	-88.875
575	9602	30.125	-85.625
598	9767	30.375	-103.375
657	9826	30.375	-88.625
722	10032	30.625	-96.125
723	10033	30.625	-95.875
721	10031	30.625	-96.375
724	10034	30.625	-95.625
720	10030	30.625	-96.625
725	10035	30.625	-95.375
719	10029	30.625	-96.875
726	10036	30.625	-95.125
718	10028	30.625	-97.125
727	10037	30.625	-94.875
504	9376	29.875	-83.125
717	10027	30.625	-97.375
728	10038	30.625	-94.625
716	10026	30.625	-97.625
729	10039	30.625	-94.375
433	9148	29.625	-81.125
597	9766	30.375	-103.625
658	9827	30.375	-88.375
